2023-12-11 13:37:47,409| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-11 13:37:47,409| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:37:47,409| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-11 13:37:47,409| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:37:47,428| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2023-12-11 13:37:47,433| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:37:47,578| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/shortcuts| 200 
2023-12-11 13:37:47,584| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/preferences/shortcuts| 200 
2023-12-11 13:37:47,594| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/nodes| 200 
2023-12-11 13:37:49,123| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-11 13:37:49,974| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-11 13:37:51,033| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-11 13:37:51,311| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-11 13:37:51,311| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-11 13:37:51,327| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2023-12-11 13:37:51,333| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-11 13:37:51,337| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:37:51,336| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:37:51,335| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:37:51,334| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-11 13:37:51,357| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:37:51,359| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:37:51,360| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:37:52,241| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-11 13:37:52,255| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:37:52,255| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:37:52,258| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:37:57,324| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:37:57,342| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:37:57,342| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:37:57,343| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:37:57,355| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:37:57,355| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:37:57,358| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:37:57,358| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:37:57,358| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:38:03,898| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:38:03,913| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:38:03,913| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:38:03,914| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:38:03,916| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:38:03,930| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:47:48,801| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-11 13:47:48,801| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:47:48,801| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-11 13:47:48,801| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:47:48,817| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2023-12-11 13:47:48,834| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2023-12-11 13:47:48,963| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/nodes| 200 
2023-12-11 13:47:49,000| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/shortcuts| 200 
2023-12-11 13:47:49,006| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/preferences/shortcuts| 200 
2023-12-11 13:47:49,540| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-11 13:47:50,322| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-11 13:47:51,547| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-11 13:47:53,480| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2023-12-11 13:47:53,635| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-11 13:47:53,641| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-11 13:47:53,652| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 13:47:53,653| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 13:47:53,653| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2023-12-11 13:47:53,654| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2023-12-11 13:47:53,657| pingFederateAdmin| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
