2023-12-19 10:29:46,605| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-19 10:29:46,605| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/activeAdministrators| 200 
2023-12-19 10:29:46,608| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-19 10:29:46,614| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/uiSettings| 200 
2023-12-19 10:29:46,628| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-19 10:29:46,662| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-19 10:29:47,009| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/nodes| 200 
2023-12-19 10:29:47,044| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/user/shortcuts| 200 
2023-12-19 10:29:47,045| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/user/preferences/shortcuts| 200 
2023-12-19 10:29:50,121| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/extendSession| 200 
2023-12-19 10:29:50,240| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/activeAdministrators| 200 
2023-12-19 10:29:50,241| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-19 10:29:50,993| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-19 10:29:51,000| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/activeAdministrators| 200 
2023-12-19 10:29:51,000| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-19 10:29:51,000| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-19 10:29:51,007| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/uiSettings| 200 
2023-12-19 10:29:51,288| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-19 10:29:51,870| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-19 10:29:51,870| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-19 10:29:51,871| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-19 10:29:57,381| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/extendSession| 200 
2023-12-19 10:29:57,402| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-19 10:29:57,402| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-19 10:29:57,403| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-19 10:30:01,213| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-19 10:30:01,213| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-19 10:30:01,214| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-19 10:30:01,277| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-19 10:30:01,277| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-19 10:30:01,279| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
