2023-12-18 11:36:08,194| tid:Q_PostwUvOsLF3JeyNXnwGvcZaA| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 775 
2023-12-18 11:36:13,121| tid:Q_PostwUvOsLF3JeyNXnwGvcZaA| AUTHN_ATTEMPT| sdf| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 613 
2023-12-18 11:38:10,341| tid:xP5Zz4B4_uqzd-SvcCIntJtAAy8| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 27 
2023-12-18 11:38:13,135| tid:xP5Zz4B4_uqzd-SvcCIntJtAAy8| AUTHN_ATTEMPT| sdf| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 17 
2023-12-18 11:39:32,555| tid:ZtVUW2aZxncKaUEP8HDYllaSg3w| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 9 
2023-12-18 11:39:38,376| tid:ZtVUW2aZxncKaUEP8HDYllaSg3w| AUTHN_ATTEMPT| sdf| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 15 
2023-12-18 11:39:42,880| tid:ZtVUW2aZxncKaUEP8HDYllaSg3w| AUTHN_ATTEMPT| sdf| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 10 
2023-12-18 11:40:16,279| tid:ZtVUW2aZxncKaUEP8HDYllaSg3w| AUTHN_ATTEMPT| sdf| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 9 
2023-12-18 11:40:24,087| tid:Q3m4Ss0Nrnlhzh_AoAfice9PNeM| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 10 
2023-12-18 11:40:26,017| tid:Q3m4Ss0Nrnlhzh_AoAfice9PNeM| AUTHN_ATTEMPT| s| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 8 
2023-12-18 11:54:05,644| tid:Fu8w7HKxS0nI36x_F0nflzfSQP0| SSO| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| failure| HTMLFormAdapter| Syntax error in template /Users/jko/Desktop/PingFederate/pingfederate-11.3.3/pingfederate/server/default/conf/template/html.form.login.template.html| 716 
2023-12-18 11:54:06,409| tid:AoFW_hvqifF7udyN9kIDQj_yapo| SSO| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| failure| HTMLFormAdapter| Syntax error in template /Users/jko/Desktop/PingFederate/pingfederate-11.3.3/pingfederate/server/default/conf/template/html.form.login.template.html| 22 
2023-12-18 11:54:13,465| tid:yRm34MXrO3czmx62ShqZp8ZGU_w| SSO| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| failure| HTMLFormAdapter| Syntax error in template /Users/jko/Desktop/PingFederate/pingfederate-11.3.3/pingfederate/server/default/conf/template/html.form.login.template.html| 18 
2023-12-18 11:55:02,770| tid:yRm34MXrO3czmx62ShqZp8ZGU_w| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 41 
2023-12-18 11:55:08,335| tid:yRm34MXrO3czmx62ShqZp8ZGU_w| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 10 
2023-12-18 11:55:13,643| tid:yRm34MXrO3czmx62ShqZp8ZGU_w| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 9 
2023-12-18 11:55:30,109| tid:-6m99eqMIrw8UFIXCjr4gN_SR9U| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 6 
2023-12-18 11:55:34,646| tid:-6m99eqMIrw8UFIXCjr4gN_SR9U| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 10 
2023-12-18 11:55:54,247| tid:-6m99eqMIrw8UFIXCjr4gN_SR9U| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 9 
2023-12-18 11:56:10,587| tid:-6m99eqMIrw8UFIXCjr4gN_SR9U| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 11 
2023-12-18 11:57:30,990| tid:NAoZk4MaTN4BogJL2xGmZOQy9S0| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 21 
2023-12-18 11:57:35,587| tid:NAoZk4MaTN4BogJL2xGmZOQy9S0| AUTHN_ATTEMPT| sddd| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 530 
2023-12-18 12:04:07,885| tid:lQIh6tFs4ue1P7EEPMxlnE6RRhY| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 27 
2023-12-18 12:05:48,320| tid:_3KpoANFa7CY_IgIl40YJunyiqM| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 20 
2023-12-18 12:07:30,749| tid:4MX3C8CZeFanKeBc2s8d4TXuW0o| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 14 
2023-12-18 12:08:10,437| tid:4MX3C8CZeFanKeBc2s8d4TXuW0o| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 949 
2023-12-18 12:08:11,293| tid:4MX3C8CZeFanKeBc2s8d4TXuW0o| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 19 
2023-12-18 12:08:14,553| tid:4MX3C8CZeFanKeBc2s8d4TXuW0o| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 12 
2023-12-18 12:08:31,559| tid:4MX3C8CZeFanKeBc2s8d4TXuW0o| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 11 
2023-12-18 12:09:16,560| tid:4MX3C8CZeFanKeBc2s8d4TXuW0o| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 8 
2023-12-18 12:11:28,149| tid:7gjsN58rQ_hp-litU2duMkFINo8| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 24 
2023-12-18 12:11:32,092| tid:7gjsN58rQ_hp-litU2duMkFINo8| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 8 
2023-12-18 12:12:03,343| tid:7gjsN58rQ_hp-litU2duMkFINo8| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 11 
2023-12-18 12:12:31,886| tid:7gjsN58rQ_hp-litU2duMkFINo8| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 12 
2023-12-18 12:13:26,798| tid:7gjsN58rQ_hp-litU2duMkFINo8| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 12 
2023-12-18 12:13:30,111| tid:7gjsN58rQ_hp-litU2duMkFINo8| AUTHN_ATTEMPT| ss| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 804 
2023-12-18 12:17:40,329| tid:BcDlXnLbCQNL6iHKotfHkZzEuq4| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 7 
2023-12-18 12:17:42,569| tid:BcDlXnLbCQNL6iHKotfHkZzEuq4| AUTHN_ATTEMPT| ss| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 11 
2023-12-18 12:18:10,614| tid:BcDlXnLbCQNL6iHKotfHkZzEuq4| AUTHN_ATTEMPT| ss| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 48 
2023-12-18 12:18:12,228| tid:BcDlXnLbCQNL6iHKotfHkZzEuq4| AUTHN_ATTEMPT| s| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 9 
2023-12-18 12:18:25,905| tid:BcDlXnLbCQNL6iHKotfHkZzEuq4| AUTHN_ATTEMPT| s| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 31 
2023-12-18 12:18:27,820| tid:BcDlXnLbCQNL6iHKotfHkZzEuq4| AUTHN_ATTEMPT| sdf| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 12 
2023-12-18 12:19:45,675| tid:Bby1UKrD_G6uWTEKB9sL5JaK34s| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 9 
2023-12-18 12:19:48,208| tid:Bby1UKrD_G6uWTEKB9sL5JaK34s| AUTHN_ATTEMPT| sss| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 9 
2023-12-18 12:27:14,810| tid:_u7hMoipMRDpHN375aWyvRsBWGM| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 6 
2023-12-18 12:27:16,355| tid:_u7hMoipMRDpHN375aWyvRsBWGM| AUTHN_ATTEMPT| ss| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 9 
2023-12-18 12:27:47,534| tid:daFoJx-kJ_dgSdIZuyIYIa2nHyA| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 32 
2023-12-18 12:27:48,914| tid:daFoJx-kJ_dgSdIZuyIYIa2nHyA| AUTHN_ATTEMPT| sd| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 8 
2023-12-18 12:50:12,896| tid:9tyUIdfid_BrQbYFTSxT4L5b17g| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 9 
2023-12-18 12:50:15,315| tid:9tyUIdfid_BrQbYFTSxT4L5b17g| AUTHN_ATTEMPT| s| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 10 
2023-12-18 12:50:19,411| tid:9tyUIdfid_BrQbYFTSxT4L5b17g| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 9 
2023-12-18 12:52:23,096| tid:YPkxF1upmLu7PIznaEEVn6-WhLE| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 9 
2023-12-18 12:52:25,488| tid:YPkxF1upmLu7PIznaEEVn6-WhLE| AUTHN_ATTEMPT| sdf| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 10 
2023-12-18 12:52:52,755| tid:YPkxF1upmLu7PIznaEEVn6-WhLE| AUTHN_ATTEMPT| dsfs| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 18 
2023-12-18 12:52:57,796| tid:YPkxF1upmLu7PIznaEEVn6-WhLE| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 8 
2023-12-18 12:53:00,057| tid:YPkxF1upmLu7PIznaEEVn6-WhLE| AUTHN_ATTEMPT| sdf| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 19 
2023-12-18 12:53:05,568| tid:YPkxF1upmLu7PIznaEEVn6-WhLE| AUTHN_ATTEMPT| sdf| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 16 
2023-12-18 12:53:09,017| tid:YPkxF1upmLu7PIznaEEVn6-WhLE| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 10 
2023-12-18 12:53:11,121| tid:YPkxF1upmLu7PIznaEEVn6-WhLE| AUTHN_ATTEMPT| dd| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 9 
2023-12-18 12:53:35,301| tid:YPkxF1upmLu7PIznaEEVn6-WhLE| AUTHN_ATTEMPT| dd| [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| [source:LDAP-FC54C87F0BC5FA63833FC8CFB5CBB8921150CDD6] User Not Found| 17 
