2023-12-19 10:28:28,195| tid:JaDGTwExglbFYCwr-S-Xjjpefw0| AUTHN_ATTEMPT| | 10.0.0.3 | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 94 
2023-12-19 10:28:31,525| tid:JaDGTwExglbFYCwr-S-Xjjpefw0| AUTHN_ATTEMPT| | 10.0.0.3 | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 9 
2023-12-19 10:28:56,374| tid:JaDGTwExglbFYCwr-S-Xjjpefw0| AUTHN_ATTEMPT| | 10.0.0.3 | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 8 
2023-12-19 10:29:03,921| tid:2lrUsrbl7EFpIcasc042C_g1A0Y| AUTHN_ATTEMPT| | 10.0.0.3 | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 7 
2023-12-19 10:29:13,646| tid:2lrUsrbl7EFpIcasc042C_g1A0Y| AUTHN_ATTEMPT| | 10.0.0.3 | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 10 
2023-12-19 10:29:15,553| tid:2lrUsrbl7EFpIcasc042C_g1A0Y| AUTHN_ATTEMPT| | 10.0.0.3 | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 7 
2023-12-19 10:29:21,978| tid:2lrUsrbl7EFpIcasc042C_g1A0Y| AUTHN_ATTEMPT| | 10.0.0.3 | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 7 
2023-12-19 10:29:25,349| tid:2lrUsrbl7EFpIcasc042C_g1A0Y| AUTHN_ATTEMPT| | 10.0.0.3 | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 7 
2023-12-19 10:29:52,217| tid:E5-hGe-_kE_Fg8Ol45m2vmu8KVw| AUTHN_ATTEMPT| | 10.0.0.3 | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 9 
2023-12-19 10:30:37,988| tid:wFvXKQ-Gkt20-mIXUFxc-8L9EUU| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 7 
2023-12-19 10:30:39,424| tid:wFvXKQ-Gkt20-mIXUFxc-8L9EUU| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 4 
2023-12-19 10:31:30,903| tid:wFvXKQ-Gkt20-mIXUFxc-8L9EUU| AUTHN_ATTEMPT| | [0:0:0:0:0:0:0:1] | | https://samltest.id/saml/sp| SAML20| localhost| IdP| inprogress| HTMLFormAdapter| | 14 
